prompt,label,gpt_label
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
Muscle cells need to quickly convert energy from food molecules into a usable form. For this reason, which of the following do muscle cells have in greater numbers than most other types of cells?

Options: ['A. chromosomes', 'B. mitochondria', 'C. nuclei', 'D. vacuoles']

B",qa,qa
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
A boy in an orange shirt is playing a video game. The scene changes to the game itself. the scene

Options: ['0. switches to the viewers in an office where they are watching with video cameras attached.', '1. switches to the boys playing ball and holding an arm up in the end.', '2. changes again to the game at the beach.', '3. changes back to the boy.']

3",sc,sc
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
The extensive branching of neurons helps them to perform which function?

Options: ['A. maintain structural stability', 'B. stockpile chemical energy', 'C. communicate with other neurons', 'D. secrete hormones']

C",qa,qa
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
[header] How to look pretty and slim [title] Eat healthy. [step] Eating healthy is a very important thing. Eat good proportions though.

Options: ['0. Full fats or fat rich in other, healthy fats should be looking good every day. Get enough of them out of your diet.', '1. Try to drink 6 cups of water three times a day and especially smaller glasses if you like. [title] If you have a large chest, then drink plenty of water daily.', ""2. Don't eat too much of that food because it can be bad for you even though you may be eating healthy foods. Start eating whole grain toast or more veggies."", '3. Not only does eating cut down on the amount of calories consumed by your body, but it is also vital to your health. Some health standards say to eat 500-800 calories per day for women and 400 calories per day for men.']

2",sc,sc
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
A man demonstrates how to use a electric knife sharpener to sharpen a knife and shows how sharp the knife is after being sharpened by slicing tomatoes. a man

Options: ['0. and a woman walk into a kitchen and a man demonstrates honing a knife using ambient light.', '1. stands in front of an electric knife sharpener and points to it while talking to the camera.', '2. sprays a paper towel over a knife sharpener.', '3. then shows a flip knife that can be used to sharpen wooden knives and then shows a sharpener book called featuring all previous knives.']

1",sc,sc
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
A hiker wants to know if air is warmer in a forest than in the nearby farm field. Which activity would best help the hiker find out which area is warmer?

Options: ['A. reading a book about farm fields', 'B. making a weather prediction for the forests', 'C. measuring the wind speed at both locations', 'D. recording the temperatures at both locations']

D",qa,qa
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
[header] How to go with the flow [title] Realize that you can't control everything. [step] No one can plan for every potential problem that might arise. The important thing is that you understand that you have the ability to problem solve in the moment.

Options: ['0. This will allow you to anticipate a problem, then decide how to tackle it. [substeps] For example, notice any unpredictability that takes place at work.', '1. This creates a sense of security and also makes you willing to take risks. [title] Learn to change your perception of everyday situations.', '2. Over time, this will help calm your mind. [substeps] One study found that taking notes on certain subjects or talking with a counselor will help you stay centered on the task at hand.', ""3. Part of this is accepting that problems will arise. Going with the flow is having the confidence that you'll be able to handle the unexpected.""]

3",sc,sc
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
[header] How to make vanilla scented perfume at home [title] Cut the vanilla beans open and scrape out the paste. [step] To create the vanilla essence for the perfume, you need fresh vanilla beans. Use a sharp knife to cut 8 to10 beans open lengthwise so you expose the paste inside.

Options: ['0. Use a damp cloth to wipe the paste out of the beans. [title] Pour the vanilla and honey into a mold and cool.', '1. Then, chop the beans in half using your knives. [substeps] You can use the chopped beans instead of the fresh ones because they should be roughly the same size.', ""2. Add some water and place it in a medium-sized bowl. [substeps] If you can't find fresh vanilla beans, you can buy pods of fresh mint beans at a local grocery store."", '3. Scrape the paste out of the beans with the knife, and chop the bean shells into pieces. Place both the paste and chopped shells in a small glass jar that has a lid.']

3",sc,sc
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
[header] How to be a successful corps member in americorps [title] Commit to serving in the program. [step] Be realistic about the challenges of serving to find out how to be a successful corps member in americorps. You'll have to work long hours and be with a group of other americorps volunteers for many hours at a time.

Options: [""0. There will be few opportunities for privacy or alone time. The work is physically and mentally demanding, and you'll be exposed to different cultures and lifestyles."", '1. Gaining a certain level of knowledge will help you determine how to be successful. Consider completing continuing education courses after completing your degree.', ""2. [substeps] If americorps will only train you from home, you don't need to stick to the program for a prolonged period. That's not a job that you could really fit into."", '3. Join a club in americorps that makes you feel special and supported. This will be a good place to start your journey and develop your network for good serving as a corps member and in the final stage of your training.']

0",sc,sc
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [qa, sc].

<Task Description ans example>
* qa: a task that answer the correct answer to a question.
```
### User
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

### Assistant
2
```

* sc: a task that chooses the appropriate and logically following phrase to finish a given unfinished sentence including arithmetic inference.
```
### User
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

### Assistant
0
```
You should answer the task type and not say anything after that.

<Task>
[header] How to apply a lace front wig [title] Do a skin test. [step] Some people are allergic to the chemicals used to keep a wig in place. Do a skin test to determine whether or not you are allergic.

Options: ['0. Ask a trusted family member to help you test for a wig by taking a bacterial treatment. Ask your doctor or dermatologist if using an oral treatment or a pore-cleansing product may help you or your wig.', ""1. [substeps] Apply a small amount of the product to your hands and scrub them with a wire brush to see whether your skin might react. Not all chemicals react well with lace and their additives can irritate sensitive skin, so don't use specialty hair products on a fresh wig."", '2. Run a couple of skin tests to get some certainty. [substeps] Touch the parts where the hair is feathering on the back of your head.', '3. First, dab a small amount of liquid adhesive or double-sided wig tape onto the back of your hand. Next, observe the adhesive for at least twenty four hours.']

3",sc,sc
